NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Completion Date,Locations
NCT04507542,Enriched Music-Supported Therapy to Restore Motor Deficits After Stroke,https://clinicaltrials.gov/study/NCT04507542,UNKNOWN,NO,Stroke,BEHAVIORAL: Enriched Music-Supported Therapy|BEHAVIORAL: Graded Repetitive Arm Supplementary Program,University of Barcelona,"Artificial Intelligence Research Institute, Spanish National Research Council|University of Helsinki",ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2022-07-01,"Bellvitge Biomedical Research Institute, L'Hospitalet De Llobregat, Barcelona, 08908, Spain"
NCT01062646,Multimodal Music Therapy for Children With Anxiety Disorders,https://clinicaltrials.gov/study/NCT01062646,COMPLETED,NO,Anxiety,BEHAVIORAL: Multimodal music therapy|BEHAVIORAL: Community treatment as usual,University of Ulm,,ALL,CHILD,36,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2009-09,
NCT05309369,Musical Engagement of Brain LObes in Alzheimer's Disease Patients StudY,https://clinicaltrials.gov/study/NCT05309369,COMPLETED,NO,Alzheimer Disease|Dementia|Music Therapy,BEHAVIORAL: Preferred Music|BEHAVIORAL: Nature Sounds,Medical University of South Carolina,"National Endowment for the Arts, United States|American Association of Retired Persons",ALL,"ADULT, OLDER_ADULT",10,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2024-03-15,"Medical University of South Carolina, Charleston, South Carolina, 29425, United States"
NCT03692247,The Impact of Music Therapy on Nociceptive Processing,https://clinicaltrials.gov/study/NCT03692247,COMPLETED,NO,Pain|Chronic Pain,OTHER: Smartphone-based Music Intervention,Brigham and Women's Hospital,,ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2018-07-18,"Brigham and Women's Hospital, Brookline, Massachusetts, 02115, United States"
NCT05417711,Efficacy of Transcutaneous Vagus Nerve Stimulation Paired With Tailor-Made Notched Music Therapy Versus Tailor-made Notched Music Training for Chronic Subjective Tinnitus,https://clinicaltrials.gov/study/NCT05417711,NOT_YET_RECRUITING,NO,"Tinnitus, Subjective|Vagus Nerve Stimulation|Music Therapy|Double-Blind Method|Female|Male|Humans|Treatment Outcome",DEVICE: Transcutaneous Vagus Nerve Stimulation Paired with Tailor-Made Notched Music Therapy|DEVICE: Tailor-made Notched Music Training,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,"The First Affiliated Hospital with Nanjing Medical University|Zhongshan People's Hospital, Guangdong, China|Affiliated Zhuhai Hospital of Southern Medical University|Guangzhou Panyu Central Hospital|Shenshan Medical Center, Memorial Hospital of Sun Yat-sen University|Eighth Affiliated Hospital, Sun Yat-sen University|Second Affiliated Hospital of Guangzhou Medical University|Southern Medical University, China",ALL,ADULT,388,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2026-09-01,
NCT06024954,"Pain, Anxiety of Aromatherapy and Music Effect on",https://clinicaltrials.gov/study/NCT06024954,COMPLETED,NO,Cancer,OTHER: aromatherapy|OTHER: music therapy|OTHER: aromatherapy and music therapy,Ege University,,ALL,"ADULT, OLDER_ADULT",88,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2023-07-15,"EGE, İzmir, İ̇zmi̇r, 3590, Turkey"
NCT04127344,Effect of a Music Therapy Intervention on Mood,https://clinicaltrials.gov/study/NCT04127344,UNKNOWN,NO,Critically Ill Patient,BEHAVIORAL: Music Therapy Intervention,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,,ALL,"ADULT, OLDER_ADULT",164,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2020-12-31,"Hospital de la Santa Creu i Sant Pau, Barcelona, 08025, Spain"
NCT04380129,"Music Therapy Model ""The Bonny Method of Guided Imagery and Music"" on Patients with Rheumatoid Arthritis",https://clinicaltrials.gov/study/NCT04380129,RECRUITING,NO,Rheumatoid Arthritis|Quality of Life|Chronic Pain,OTHER: Music therapy-conversation sessions|OTHER: Music Listening,University of Thessaly,,ALL,"ADULT, OLDER_ADULT",74,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2025-02-05,"University Hospital of Larissa, Department of Anesthesiology, Larissa, Thessaly, 41110, Greece"
NCT03049033,NMT for Parkinson's Disease,https://clinicaltrials.gov/study/NCT03049033,RECRUITING,NO,Parkinson Disease,OTHER: Neurologic Music Therapy|OTHER: Occupational Therapy|OTHER: Music Supported Therapy,"University of Colorado, Denver",National Center for Complementary and Integrative Health (NCCIH),ALL,"ADULT, OLDER_ADULT",100,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2025-12-31,"University of Colorado Denver, Aurora, Colorado, 80045, United States"
NCT05993000,Assessment of Frozen Shoulder Treatment Using 432 Hertz Frequency Music: A Clinical Trial,https://clinicaltrials.gov/study/NCT05993000,COMPLETED,NO,Frozen Shoulder|432 Hertz Frequency Music|Manual Therapy|Exercise,OTHER: 432 Hertz frequency music|OTHER: TENS|OTHER: Mobilization|OTHER: Exercises|OTHER: Hotpack,Ondokuz Mayıs University,,FEMALE,"ADULT, OLDER_ADULT",40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-06-15,"Ondokuz Mayıs University, Samsun, 55500, Turkey"
NCT03943836,Reducing Anxiety in Pediatric Dental Patients Through Passive Music Therapy,https://clinicaltrials.gov/study/NCT03943836,TERMINATED,NO,"Anxiety, Dental",BEHAVIORAL: Music,"The University of Texas Health Science Center, Houston",,ALL,CHILD,72,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2020-01-08,"The University of Texas Health Science Center at Houston, Houston, Texas, 77030, United States"
NCT05059028,Effect of Oxytocin Massage and Music on Breastfeeding,https://clinicaltrials.gov/study/NCT05059028,COMPLETED,NO,Oxytocin|Massage|Music|Breastfeeding,OTHER: Oxytocin massage AND music therapy,Istanbul University - Cerrahpasa,,FEMALE,"ADULT, OLDER_ADULT",120,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,2022-07-30,"Istanbul University Cerrahpasa, Istanbul, Other, 34862, Turkey"
NCT05981924,Perioperative Music Therapy Plus Oxycodone in Perioperative Management of Lung Surgery,https://clinicaltrials.gov/study/NCT05981924,COMPLETED,NO,Analgesia|Lung Cancer,OTHER: Perioperative Music Therapy,Hao Long,Sun Yat-sen University School of Art|Sun Yat-sen University Department of Psychology,ALL,"ADULT, OLDER_ADULT",66,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2024-04-20,"Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, 510000, China"
NCT03267095,Use Music Therapy In Autism Spectrum Disorder,https://clinicaltrials.gov/study/NCT03267095,UNKNOWN,NO,Autism Spectrum Disorder,BEHAVIORAL: music therapy sessions .,Assiut University,,ALL,CHILD,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-11-01,
NCT03538223,Music Listening in Radiotherapy Treatment,https://clinicaltrials.gov/study/NCT03538223,COMPLETED,NO,Breast Cancer,OTHER: Music Listening|RADIATION: Radiotherapy,Istituti Clinici Scientifici Maugeri SpA,University of Pavia,FEMALE,"CHILD, ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2020-09-30,"Istituti Clinici Scientifici Maugeri SpA, Pavia, Lombardy, 27100, Italy"
NCT04493034,Assessing the Benefit of Art & Music Therapy on Quality of Life in Patients With Breast Cancer,https://clinicaltrials.gov/study/NCT04493034,COMPLETED,NO,Breast Cancer,BEHAVIORAL: Art Therapy|BEHAVIORAL: Music Therapy,Case Comprehensive Cancer Center,,ALL,"ADULT, OLDER_ADULT",73,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2024-01-22,"Cleveland Clinic Florida Weston, Case Comprehensive Cancer Center, Weston, Florida, 33331, United States"
NCT05317052,"The Effect of Massage and Musıc Therapy on Birth Pain, Posttravmatic Comfort and Posttraumatic Development",https://clinicaltrials.gov/study/NCT05317052,COMPLETED,NO,Labor Pain|Posttraumatic Growth,BEHAVIORAL: Massage group,Amasya University,,FEMALE,ADULT,105,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2022-07-01,"Amasya University, Amasya, Turkey"
NCT04987957,Effect Of Musıc Therapy On Anxıety Levels In COVID-19 Pandemıc,https://clinicaltrials.gov/study/NCT04987957,RECRUITING,NO,Anxiety,OTHER: Music Therapy,Abant Izzet Baysal University,,ALL,"CHILD, ADULT, OLDER_ADULT",42,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2026-12-31,"Family Health Centers in Bolu, Bolu, Turkey"
NCT03220061,Effectiveness of Music Therapy on Blood Pressure and Anxiety Among Patients Undergoing Haemodialysis,https://clinicaltrials.gov/study/NCT03220061,COMPLETED,NO,Kidney Diseases,BEHAVIORAL: music therapy,Maharishi Markendeswar University (Deemed to be University),,FEMALE,"CHILD, ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2016-12-12,"Maharishi Markandeshwar University, Ambala, Haryana, 134003, India"
NCT05904392,Effect of Music Therapy on the Anxiety Level of Patients During the Administration of Ocular Intravitreal Injections,https://clinicaltrials.gov/study/NCT05904392,COMPLETED,NO,Anxiety and Fear,OTHER: Music,Althaia Xarxa Assistencial Universitària de Manresa,University of Vic - Central University of Catalonia,ALL,"ADULT, OLDER_ADULT",50,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",2024-02-28,"Eduard Pedemonte Sarrias, Manresa, Barcelona, 08243, Spain"
NCT04217681,Non-pharmacological Treatments for Non-malignant and Malignant Pain,https://clinicaltrials.gov/study/NCT04217681,UNKNOWN,NO,Comparison of Treatment for Chronic Non-malignant and Malignant Pain,BEHAVIORAL: Self-hypnosis/self-care|BEHAVIORAL: Music/self-care|BEHAVIORAL: Self-hypnosis/self-care motivation|BEHAVIORAL: Self-hypnosis/self-care malignant pain,University of Liege,,ALL,"ADULT, OLDER_ADULT",200,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-01-30,"Hospital University of Liège, Liège, 4000, Belgium"
NCT02473614,Efficacy Study of the Music Glove Patients With Spinal Cord Injuries,https://clinicaltrials.gov/study/NCT02473614,COMPLETED,YES,Spinal Cord Injuries,DEVICE: Music Glove|OTHER: Conventional Hand Exercise Program,"University of California, Irvine",,ALL,"ADULT, OLDER_ADULT",11,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2016-06,"University of California, Irvine, Irvine, California, 92697, United States"
NCT02208219,Music Therapy to Restore Motor Deficits After Stroke,https://clinicaltrials.gov/study/NCT02208219,UNKNOWN,NO,Stroke|Paresis,BEHAVIORAL: Music-supported Therapy|BEHAVIORAL: home-based Music-supported Therapy|BEHAVIORAL: Conventional treatment,University of Barcelona,Institució Catalana de Recerca i Estudis Avançats,ALL,"ADULT, OLDER_ADULT",120,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2017-07,"University of Barcelona; Hospitals del Mar i l'Esperança, Barcelona, 08024, Spain"
NCT04799574,Effect of Music Therapy in Improving the Physical Fitness and Depression in the Frailty of the Community Elderly,https://clinicaltrials.gov/study/NCT04799574,COMPLETED,NO,Music Therapy|Frailty|Physical Fitness|Depression,OTHER: music therapy activities,National Taipei University of Nursing and Health Sciences,,ALL,OLDER_ADULT,75,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2019-05-27,"National Taipei University of Nursing and Health Sciences, Taipei, 112, Taiwan"
NCT04485650,Effect of Music in Intraoperative Period,https://clinicaltrials.gov/study/NCT04485650,COMPLETED,NO,Music Therapy|Perioperative Care|Postoperative Pain|Anxiety|Total Knee Arthroplasty|Vital Signs|Spinal Anesthesia,OTHER: music therapy|OTHER: sedated group|OTHER: non-sedated group,Abant Izzet Baysal University,,ALL,"ADULT, OLDER_ADULT",90,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: SUPPORTIVE_CARE,2017-05-30,"Faculty of health sciences, Bolu, Turkey"
NCT01372059,The Effects of a Rhythm and Music-based Therapy Program and Therapeutic Riding in Late Recovery Phase Following Stroke,https://clinicaltrials.gov/study/NCT01372059,COMPLETED,NO,Stroke,OTHER: RGRM|OTHER: Therapeutic riding|OTHER: Receives no intervention,Göteborg University,The Sten A Olsson foundation for Research and Culture,ALL,"ADULT, OLDER_ADULT",123,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2014-06-02,"Sahlgrenska University hospital / Högsbo, Gothenburg, Sweden"
NCT03592147,Investigation of Different Relaxation Techniques in Eliciting a Relaxation Response,https://clinicaltrials.gov/study/NCT03592147,COMPLETED,NO,"Stress, Psychological",OTHER: Guided Imagery Relaxation Tape|OTHER: Music Listening|OTHER: Relaxation Lighting|OTHER: Meditation and Relaxation Light|OTHER: Music and Relaxation Light|OTHER: Control/Silence,"University College, London",,FEMALE,ADULT,17,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2018-06-04,"University College London Great Ormond Street Institute of Child Health, London, WC1N 1EH, United Kingdom"
NCT06820788,Effect of Music on Pain and Comfort Levels After Laparoscopic Abdominal Surgery,https://clinicaltrials.gov/study/NCT06820788,RECRUITING,NO,"Pain, Postoperative|Surgery",OTHER: music therapy,Bitlis Eren University,,ALL,"ADULT, OLDER_ADULT",120,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2025-12-01,"Bitlis Eren University, Bitlis, 13100, Turkey"
NCT06815289,MR-informed Stereotactic Radiotherapy for Treatment of Ultracentral Lung Tumours Utilising a Dedicated MR-simulator for Daily Adaptation Followed by CBCT-guided Treatment Delivery,https://clinicaltrials.gov/study/NCT06815289,NOT_YET_RECRUITING,NO,Primary Lung Cancer or Secondary Lung Metastases,RADIATION: MR-informed stereotactic radiotherapy,University of Zurich,,ALL,"ADULT, OLDER_ADULT",11,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2028-12-31,
NCT04442971,Effectiveness of Music Therapy on Level of Consciousness,https://clinicaltrials.gov/study/NCT04442971,RECRUITING,NO,Neurologic Disorder|Traumatic Brain Injury|Disorder of Consciousness,BEHAVIORAL: Music Stimulation|BEHAVIORAL: Alternative Stimulation|BEHAVIORAL: No Auditory Stimulation,BDH-Klinik Hessisch Oldendorf,,ALL,"ADULT, OLDER_ADULT",66,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2026-12-15,"BDH-Clinic Hessisch Oldendorf, Hessisch Oldendorf, 31840, Germany"
NCT04540471,Music Therapy in Patients With Breast Cancer- a Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT04540471,WITHDRAWN,NO,"Music Therapy, Breast Cancer, Anxiety, Fatigue",OTHER: music|OTHER: comprehensive in-patient education program,Chang Gung Memorial Hospital,,ALL,"ADULT, OLDER_ADULT",0,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-12-31,"Chang Gung, Kaohsiung, Taiwan"
NCT03817775,Effect of Music on the Sedative Use During Coronary Angioplasty,https://clinicaltrials.gov/study/NCT03817775,COMPLETED,YES,Coronary Angioplasty,OTHER: Music therapy,Association de Musicothérapie Applications et Recherches Cliniques,American Hospital of Paris,ALL,"ADULT, OLDER_ADULT",76,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2019-04-03,"American Hospital of Paris, Neuilly-sur-Seine, 92200, France"
NCT06600919,Effect of Passive Music Therapy Via an App on Anxiety Prevention in ENT Surgery,https://clinicaltrials.gov/study/NCT06600919,NOT_YET_RECRUITING,NO,Cervical Surgery|Endonasal Surgery|Otologic Disease|Oropharyngeal Disease|Laryngeal Disease|ENT Surgery|Musical Therapy|Laryngeal Surgery,OTHER: Preoperative Music Therapy Session,Clinique Saint-Vincent,,ALL,"ADULT, OLDER_ADULT",500,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2027-02,
NCT06230211,Effect of Maternal Voice and Music Therapy on Pain and Physiological Parameters During in Intubated Children,https://clinicaltrials.gov/study/NCT06230211,NOT_YET_RECRUITING,NO,Music Therapy|Pain|Physiological Parameters|Mother's Voice,OTHER: Music Therapy|OTHER: Maternal Voice,Bilecik Seyh Edebali Universitesi,,ALL,CHILD,120,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: OTHER,2025-03-25,
NCT04338451,Music During ESWL for Half Treatment,https://clinicaltrials.gov/study/NCT04338451,COMPLETED,NO,Urolithiasis,OTHER: Music during the first part of ESWL|OTHER: Music during the second part of ESWL,A.O.U. Città della Salute e della Scienza,,ALL,"ADULT, OLDER_ADULT",70,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2017-10-25,"AOU Città della Salute e della Scienza, Turin, 10126, Italy"
NCT05578079,The Effectiveness of Music on Pain During Heel Blood Collection in Premature Infants,https://clinicaltrials.gov/study/NCT05578079,COMPLETED,NO,Pain,OTHER: Music|OTHER: Music,Izmir Katip Celebi University,,ALL,CHILD,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2023-04-25,"Tepecik Research and Training Hospital, İzmir, Turkey"
NCT05648539,Effect of Music Therapy in Mental Subhealth (EMTMS),https://clinicaltrials.gov/study/NCT05648539,RECRUITING,NO,"Depression, Anxiety","DEVICE: The mini apps named ""SOUL GYM"" on the Wechat",Jiangsu Province Nanjing Brain Hospital,,ALL,"CHILD, ADULT",150,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2027-10-31,"Affiliated Nanjing Brain Hospital, Nanjing Medical University, Nanjing, Jiangsu, 210000, China"
NCT06215183,"The Effect of Music on Pain, Anxiety and Satisfaction During Intrauterine Device Application",https://clinicaltrials.gov/study/NCT06215183,RECRUITING,NO,Reproductive Health|Pain|Women Health,OTHER: Music therapy,Sümeyye Köse,,FEMALE,ADULT,70,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,2024-12-30,"Pendik District Health Directorate Maternal Child Health and Family Planning Center, Istanbul, Pendik, 34890, Turkey"
NCT00964314,Traditional Chinese Medicine Five Elements Music Therapy Improving Quality of Life in Patients With Advanced Cancer,https://clinicaltrials.gov/study/NCT00964314,COMPLETED,NO,Cancer,OTHER: music,Ministry of Science and Technology of the People´s Republic of China,M.D. Anderson Cancer Center,ALL,"ADULT, OLDER_ADULT",146,OTHER_GOV,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2011-10,"Xi-Yuan Hospital, China Academy of Chinese Medical Sciences, Beijing, Beijing, 100091, China|Oncology Department of Xi Yuan hospital, Beijing, HaiDian district, 100091, China"
NCT05398211,Music Therapy as a Treatment for Delirium in Acutely Hospitalized Older Patients,https://clinicaltrials.gov/study/NCT05398211,COMPLETED,NO,Delirium in Old Age|Delirium of Mixed Origin|Delirium Superimposed on Dementia|Delirium Confusional State,BEHAVIORAL: Preferred Recorded Music (PRM)|BEHAVIORAL: Preferred Live Music (PLM),Oslo University Hospital,Norwegian Academy of Music|University of Melbourne,ALL,OLDER_ADULT,26,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2023-05-31,"Oslo University Hospital, Oslo, N-0424, Norway"
NCT06224894,"The Effect of Music Therapy on Nausea, Vomiting and Anxiety Levels in Children",https://clinicaltrials.gov/study/NCT06224894,NOT_YET_RECRUITING,NO,"Music Therapy|Nausea|Anxiety|Cancer|Vomiting|Children, Only",OTHER: Music Therapy|OTHER: antiemetic treatment,Bilecik Seyh Edebali Universitesi,,ALL,"CHILD, ADULT",80,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2025-02-25,
NCT00272272,Fall Prevention in a Geriatric Nursing Home Setting Using the Music of Nolwenn Leroy,https://clinicaltrials.gov/study/NCT00272272,COMPLETED,NO,Ataxia,BEHAVIORAL: Music Therapy,Carrick Institute for Graduate Studies,,ALL,"ADULT, OLDER_ADULT",200,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SCREENING,2007-03,"Budd Terrace Geriatric Nursing Home, Atlanta, Georgia, 30329, United States"
NCT00137189,Resource-oriented Music Therapy for Psychiatric Patients With Low Therapy Motivation,https://clinicaltrials.gov/study/NCT00137189,COMPLETED,NO,Mental Disorders|Mood Disorders|Personality Disorders|Schizophrenia and Disorders With Psychotic Features,PROCEDURE: Resource-oriented music therapy|PROCEDURE: Standard care,NORCE Norwegian Research Centre AS,The Research Council of Norway|Helse Vest|Helse Forde|Nordfjord Psychiatric Centre|Helse Stavanger HF|Jæren District Psychiatric Centre|The Wagner-Jauregg Provincial Neuropsychiatric Clinic|University of Melbourne,ALL,"ADULT, OLDER_ADULT",144,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2010-10,"Sunshine Hospital/University of Melbourne, Faculty of Music, Melbourne, Australia|Wagner Jauregg Hospital, Linz, 4021, Austria|Jæren District Psychiatric Centre, Bryne, Rogaland, 4349, Norway|Stavanger University Hospital, Stavanger, Rogaland, 4068, Norway|Nordfjord Psychiatry Centre, Nordfjordeid, Sogn og Fjordane, 6770, Norway"
NCT05038514,The Effect of Music Therapy in COVID-19 Patients Given Prone Position,https://clinicaltrials.gov/study/NCT05038514,COMPLETED,NO,Music Therapy|Anxiety|Respiratory Distress Syndrome|Intensive Care Units|Nursing,OTHER: musıc therapy,Kutahya Health Sciences University,,ALL,"ADULT, OLDER_ADULT",30,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",2022-03-30,"Antalya Kepez State Hospital Intensive Care Unit, Antalya, 07320, Turkey"
NCT05856604,Music Therapy for Older Adults With Cognitive Decline Living in Care Homes,https://clinicaltrials.gov/study/NCT05856604,COMPLETED,NO,Cognitive Impairment|Cognitive Decline,BEHAVIORAL: Music Therapy|BEHAVIORAL: Storytelling,Middlesex University,Methodist Homes for the Aged,ALL,OLDER_ADULT,42,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",2019-08-28,"MHA Methodist Homes, Derby, DE1 2EQ, United Kingdom"
NCT05723328,Music Therapy Advocacy Recording Intervention (MTAR) on Internalized Stigma,https://clinicaltrials.gov/study/NCT05723328,TERMINATED,YES,Mental Health Issues|Bipolar Disorder|Depressive|Schizophrenia Spectrum and Other Psychotic Disorders|Anxiety Disorder,BEHAVIORAL: Group Music Therapy Advocacy Recording Intervention (MTAR),Hackensack Meridian Health,American Music Therapy Association,ALL,"ADULT, OLDER_ADULT",7,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2023-04-26,"Carrier Clinic, Belle Mead, New Jersey, 08502, United States"
NCT06571006,Effect of Music Therapy Applied During Lumbar Puncture on Infants' Pain Perception,https://clinicaltrials.gov/study/NCT06571006,ENROLLING_BY_INVITATION,NO,Infant ALL,OTHER: music,Erzurum Technical University,,ALL,CHILD,25,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2024-11-01,"Ayşe Metin, Erzurum, 25010, Turkey"
